,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
119,5,81,6.7,Little River,Arkansas,AR,42,2391.0,299.0,468.0,855,726,0,10.0,0,22.0,1,11.0,0,0,0,0,0,0,1994-2003
120,5,83,8.1,Logan,Arkansas,AR,76,4675.0,470.0,772.0,1472,1265,1,49.0,1,40.0,0,18.0,0,0,0,0,0,0,1994-2003
121,5,85,6.3,Lonoke,Arkansas,AR,29,8730.0,1228.0,1583.0,3804,3492,0,147.0,1,38.0,1,14.0,0,0,0,0,0,0,1999-2003
122,5,87,4.0,Madison,Arkansas,AR,43,3244.0,269.0,508.0,962,838,0,22.0,1,19.0,1,8.0,0,0,0,0,0,0,1994-2003
123,5,89,8.3,Marion,Arkansas,AR,71,2940.0,319.0,781.0,1142,914,1,27.0,1,23.0,1,8.0,0,0,0,0,0,0,1994-2003
124,5,91,9.7,Miller,Arkansas,AR,52,7343.0,879.0,1296.0,2732,2388,0,20.0,0,39.0,1,18.0,0,0,0,0,0,0,1999-2003
125,5,93,7.0,Mississippi,Arkansas,AR,8,10477.0,1743.0,1831.0,2869,2632,0,66.0,1,51.0,1,25.0,0,0,0,0,0,0,1999-2003
126,5,95,8.3,Monroe,Arkansas,AR,75,2194.0,257.0,365.0,584,517,0,44.0,1,18.0,0,6.0,0,0,0,0,0,0,1994-2003
127,5,97,11.5,Montgomery,Arkansas,AR,70,1971.0,201.0,362.0,614,505,0,99.0,1,12.0,1,4.0,0,0,0,0,0,0,1994-2003
128,5,99,1.9,Nevada,Arkansas,AR,75,1958.0,251.0,387.0,613,536,1,20.0,1,17.0,0,6.0,0,0,0,0,0,0,1994-2003
129,5,101,5.8,Newton,Arkansas,AR,74,1763.0,175.0,369.0,559,464,0,6.0,0,13.0,0,13.0,0,0,0,0,0,0,1994-2003
130,5,103,6.6,Ouachita,Arkansas,AR,36,4832.0,862.0,709.0,1739,1503,0,10.0,0,25.0,0,17.0,0,0,0,0,0,0,1999-2003
131,5,105,12.3,Perry,Arkansas,AR,62,1869.0,242.0,376.0,678,582,0,35.0,1,13.0,1,5.0,0,0,0,0,0,0,1994-2003
132,5,107,8.8,Phillips,Arkansas,AR,51,5375.0,807.0,683.0,1401,1349,0,42.0,1,26.0,1,14.0,0,0,0,0,0,0,1999-2003
133,5,109,2.9,Pike,Arkansas,AR,62,2346.0,239.0,293.0,714,608,0,65.0,1,14.0,1,6.0,0,0,0,0,0,0,1994-2003
134,5,111,12.4,Poinsett,Arkansas,AR,76,6397.0,731.0,953.0,1598,1388,0,67.0,1,46.0,1,20.0,0,0,0,0,0,0,1994-2003
135,5,113,7.9,Polk,Arkansas,AR,71,3724.0,418.0,834.0,1293,1104,1,44.0,1,30.0,1,10.0,0,0,0,0,0,0,1994-2003
136,5,115,6.5,Pope,Arkansas,AR,23,8098.0,1235.0,1749.0,3588,3425,0,78.0,1,47.0,0,22.0,0,0,0,0,0,0,1999-2003
137,5,117,7.2,Prairie,Arkansas,AR,61,2043.0,250.0,282.0,603,493,0,32.0,1,10.0,0,4.0,0,0,0,0,0,0,1994-2003
138,5,119,6.7,Pulaski,Arkansas,AR,5,37662.0,8967.0,9942.0,23058,19911,0,428.0,1,185.0,1,142.0,0,0,0,1,0,0,2001-2003
139,5,121,6.5,Randolph,Arkansas,AR,72,3868.0,582.0,659.0,1208,1049,1,37.0,1,27.0,1,7.0,0,0,0,0,0,0,1994-2003
140,5,123,11.8,St. Francis,Arkansas,AR,52,6191.0,913.0,980.0,1712,1545,1,71.0,1,27.0,1,13.0,0,0,0,0,0,0,1999-2003
141,5,125,7.5,Saline,Arkansas,AR,45,10936.0,1884.0,2568.0,5906,5119,0,238.0,1,59.0,1,25.0,0,0,0,0,0,0,1999-2003
142,5,127,10.2,Scott,Arkansas,AR,70,2582.0,203.0,352.0,705,603,0,22.0,1,14.0,1,5.0,0,0,0,0,0,0,1994-2003
143,5,129,12.4,Searcy,Arkansas,AR,70,1819.0,163.0,363.0,537,440,0,15.0,1,10.0,0,4.0,0,0,0,0,0,0,1994-2003
144,5,131,7.1,Sebastian,Arkansas,AR,6,18239.0,2451.0,3587.0,7421,6412,1,78.0,1,56.0,0,35.0,0,0,0,0,0,0,2001-2003
145,5,133,8.2,Sevier,Arkansas,AR,76,3615.0,315.0,511.0,989,898,1,24.0,0,28.0,1,12.0,0,0,0,0,0,0,1994-2003
146,5,135,6.7,Sharp,Arkansas,AR,72,3392.0,435.0,631.0,1165,933,1,27.0,1,25.0,1,7.0,0,0,0,0,0,0,1994-2003
147,5,137,9.0,Stone,Arkansas,AR,70,2672.0,276.0,520.0,784,639,0,18.0,1,15.0,0,6.0,0,0,0,0,0,0,1994-2003
148,5,139,9.1,Union,Arkansas,AR,36,7565.0,1337.0,1421.0,2817,2423,1,41.0,1,41.0,1,27.0,0,0,0,0,0,0,1999-2003
149,5,141,8.2,Van Buren,Arkansas,AR,71,3366.0,397.0,690.0,1112,899,1,41.0,1,24.0,0,8.0,0,0,0,0,0,0,1994-2003
150,5,143,5.5,Washington,Arkansas,AR,14,22441.0,3075.0,3552.0,11208,11062,0,83.0,1,65.0,1,20.0,0,0,0,0,0,0,2001-2003
151,5,145,8.7,White,Arkansas,AR,22,12334.0,1898.0,2230.0,4559,4323,0,141.0,1,58.0,0,20.0,0,0,0,0,0,0,1999-2003
152,5,149,8.9,Yell,Arkansas,AR,62,5052.0,429.0,762.0,1347,1179,0,34.0,1,27.0,0,10.0,0,0,0,0,0,0,1994-2003
