,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
2792,49,35,Salt Lake,Utah,UT,2,17.3,16.3,18.3,78.6,77.2,80.0,20.1,19.1,21.2,20.2,18.7,21.7,13.6,12.7,14.5,5.2,4.6,5.7,129028.0,72189.0,11102.0,98.8,52.8,1.0,2.0
2793,49,37,San Juan,Utah,UT,86,22.1,16.1,28.1,81.5,74.1,89.0,19.3,13.8,24.7,23.4,15.0,31.9,8.3,4.5,12.0,5.7,1.9,9.5,2819.0,1075.0,189.0,42.5,42.5,1.0,1.0
2794,49,39,Sanpete,Utah,UT,42,18.7,15.2,22.2,81.2,76.6,85.9,19.4,15.7,23.0,22.9,17.5,28.4,10.7,7.9,13.5,6.1,4.1,8.1,4685.0,2441.0,365.0,62.4,41.6,2.0,2.0
2795,49,41,Sevier,Utah,UT,42,24.4,20.0,28.8,86.4,82.2,90.6,20.4,16.4,24.3,23.7,17.7,29.7,15.5,11.6,19.5,4.1,2.3,5.9,3222.0,2516.0,347.0,36.1,56.7,2.0,2.0
2796,49,43,Summit,Utah,UT,47,12.9,10.8,15.1,73.9,70.2,77.6,10.2,8.4,12.0,14.3,11.5,17.1,8.7,7.0,10.4,2.4,1.6,3.3,4433.0,1655.0,170.0,125.7,28.6,2.0,2.0
2797,49,45,Tooele,Utah,UT,77,22.4,19.9,24.8,81.9,78.8,85.1,25.2,22.7,27.7,26.5,22.8,30.3,16.9,14.8,19.1,7.6,6.1,9.1,5555.0,3033.0,454.0,31.2,17.5,2.0,1.0
2798,49,47,Uintah,Utah,UT,77,24.7,21.7,27.8,81.5,78.1,84.9,24.5,21.4,27.7,20.1,16.1,24.1,20.1,17.2,23.1,7.1,5.4,8.8,4626.0,2506.0,413.0,40.7,25.9,2.0,2.0
2799,49,49,Utah,Utah,UT,4,16.1,14.5,17.7,79.3,76.7,81.8,18.5,16.8,20.2,15.7,13.5,17.9,6.3,5.2,7.3,4.7,3.9,5.6,54327.0,24572.0,3676.0,51.2,37.0,1.0,2.0
2800,49,51,Wasatch,Utah,UT,38,17.0,14.5,19.5,75.9,71.9,80.0,18.1,15.3,20.9,22.9,18.2,27.5,9.3,7.4,11.1,3.5,2.4,4.5,2114.0,1342.0,170.0,36.9,42.2,2.0,2.0
2801,49,53,Washington,Utah,UT,21,17.3,14.7,19.9,75.3,71.1,79.4,19.3,16.5,22.2,21.7,17.8,25.7,9.9,7.5,12.3,5.4,4.1,6.8,16267.0,14795.0,1424.0,51.3,47.1,1.0,2.0
2802,49,55,Wayne,Utah,UT,82,14.850000000000001,8.3,21.35,78.94999999999999,69.15,88.8,14.4,6.5,22.4,16.7,8.65,24.8,7.4,2.3,12.5,4.9,0.2,9.5,626.0,370.0,32.0,60.35,40.8,1.0,2.0
2803,49,57,Weber,Utah,UT,12,20.1,17.9,22.2,81.3,78.5,84.0,21.8,19.6,24.1,20.0,17.1,23.0,14.6,12.7,16.4,5.7,4.5,6.8,26123.0,20295.0,2864.0,59.8,61.7,1.0,2.0
2804,50,1,Addison,Vermont,VT,28,18.6,16.7,20.6,68.8,65.6,72.1,19.7,17.7,21.8,24.8,21.7,27.9,19.5,17.3,21.7,5.8,4.7,6.9,3220.0,4013.0,581.0,124.4,27.1,2.0,2.0
2805,50,3,Bennington,Vermont,VT,30,21.4,19.2,23.5,71.4,68.1,74.6,19.2,17.1,21.2,25.7,22.5,29.0,19.5,17.3,21.6,6.9,5.7,8.1,3494.0,5878.0,1043.0,127.0,73.0,2.0,2.0
2806,50,5,Caledonia,Vermont,VT,33,21.8,19.6,24.1,73.2,69.9,76.4,21.1,18.8,23.3,25.4,21.9,28.9,21.4,19.0,23.7,6.0,4.7,7.3,3349.0,4182.0,788.0,88.7,49.3,1.0,2.0
2807,50,7,Chittenden,Vermont,VT,11,14.9,14.0,15.9,66.3,64.5,68.1,15.8,14.8,16.8,20.0,18.5,21.6,17.1,16.0,18.2,4.2,3.7,4.7,10177.0,14577.0,2501.0,240.0,68.2,1.0,2.0
